         883 function calls in 1.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:516(Pipe)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:461(close_fds)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1169(is_alive)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1102(_wait_for_tstate_lock)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:264(__enter__)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:86(add)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:796(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1301(_make_invoke_excepthook)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:353(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:224(exitcode)
       10    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1064(join)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/popen_fork.py:46(_send_signal)
        8    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:365(_send)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:782(_newname)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:130(__del__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:348(__new__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:106(remove)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:747(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1028(_stop)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:360(_close)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:39(_remove)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tempfile.py:281(rng)
       11    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
